Date,Close
June 2018,2108.05
May 2018,2136.15
Apr 2018,1944.6
Mar 2018,1891.45
Feb 2018,1883.8
Jan 2018,2006.35
Dec 2017,1873.55
Nov 2017,1852.05
Oct 2017,1808.8
Sep 2017,1803.05
Aug 2017,1775
July 2017,1783.35
June 2017,1652.25
May 2017,1633.35
Apr 2017,1542.15
Mar 2017,1442.3
Feb 2017,1389.2
Jan 2017,1286.95
Dec 2016,1204.2
Nov 2016,1199.6
Oct 2016,1253.7
Sep 2016,1271.7
Aug 2016,1290.75
July 2016,1246.55
June 2016,1175.9
May 2016,1181.35
Apr 2016,1133.45
Mar 2016,1071.2
Feb 2016,972.55
Jan 2016,1048.95
Dec 2015,1082.75
Nov 2015,1075.95
Oct 2015,1097.05
Sep 2015,1068.9
Aug 2015,1028.15
July 2015,1111.2
June 2015,1067.45
