Date,Close
June 2018,1847.2
May 2018,1744.8
Apr 2018,1765.7
Mar 2018,1424.65
Feb 2018,1519.13
Jan 2018,1555.88
Dec 2017,1350.2
Nov 2017,1317.13
Oct 2017,1308.15
Sep 2017,1218.5
Aug 2017,1248.38
July 2017,1247.03
June 2017,1182.18
May 2017,1272.18
Apr 2017,1136.05
Mar 2017,1215.55
Feb 2017,1233.25
Jan 2017,1114.95
Dec 2016,1180.98
Nov 2016,1138.38
Oct 2016,1197.3
Sep 2016,1213.6
Aug 2016,1256.28
July 2016,1309.28
June 2016,1275.4
May 2016,1287.55
Apr 2016,1265.03
Mar 2016,1258.03
Feb 2016,1090.95
Jan 2016,1195.6
Dec 2015,1219.6
Nov 2015,1182.63
Oct 2015,1248.65
Sep 2015,1293.85
Aug 2015,1282.63
July 2015,1255
June 2015,1276.1
