Date,Close
June 2018,896.8
May 2018,923.5
Apr 2018,872.65
Mar 2018,740.2
Feb 2018,728.75
Jan 2018,763.45
Dec 2017,751.05
Nov 2017,705.25
Oct 2017,672.5
Sep 2017,626.88
Aug 2017,672.38
July 2017,701
June 2017,673.83
May 2017,708.18
Apr 2017,667.28
Mar 2017,642.35
Feb 2017,653.48
Jan 2017,619.68
Dec 2016,592.23
Nov 2016,592.98
Oct 2016,659.03
Sep 2016,702.98
Aug 2016,719
July 2016,733.45
June 2016,714.48
May 2016,662.35
Apr 2016,665.88
Mar 2016,604.83
Feb 2016,613.4
Jan 2016,616.35
Dec 2015,635.78
Nov 2015,683.63
Oct 2015,591.25
Sep 2015,630.35
Aug 2015,611.48
July 2015,680.8
June 2015,640.6
