Date,Close
June 2018,560.55
May 2018,480.15
Apr 2018,528.15
Mar 2018,495.4
Feb 2018,535.35
Jan 2018,579.35
Dec 2017,570.8
Nov 2017,539.95
Oct 2017,553.4
Sep 2017,503.2
Aug 2017,480.35
July 2017,531.7
June 2017,554.5
May 2017,501.4
Apr 2017,642.55
Mar 2017,687.7
Feb 2017,678.95
Jan 2017,631.55
Dec 2016,629.75
Nov 2016,710.3
Oct 2016,748.25
Sep 2016,742.7
Aug 2016,774.85
July 2016,829.75
June 2016,763.6
May 2016,762.7
Apr 2016,811.3
Mar 2016,819.45
Feb 2016,855.05
Jan 2016,873
Dec 2015,819.95
Nov 2015,730.65
Oct 2015,889
Sep 2015,868.45
Aug 2015,897.7
July 2015,822.75
June 2015,874.2
