Date,Close
June 2018,266.05
May 2018,271.6
Apr 2018,281.45
Mar 2018,255.9
Feb 2018,265.1
Jan 2018,271.25
Dec 2017,263.1
Nov 2017,255.65
Oct 2017,266.1
Sep 2017,258.25
Aug 2017,282.2
July 2017,285.15
June 2017,323.85
May 2017,311.9
Apr 2017,278.6
Mar 2017,280.45
Feb 2017,262.15
Jan 2017,258.05
Dec 2016,240.95
Nov 2016,232.9
Oct 2016,241.9
Sep 2016,241.55
Aug 2016,260.05
July 2016,252.45
June 2016,245.38
May 2016,234.38
Apr 2016,216.51
Mar 2016,218.68
Feb 2016,197.18
Jan 2016,212.98
Dec 2015,218.38
Nov 2015,228.78
Oct 2015,223.11
Sep 2015,219.24
Aug 2015,216.84
July 2015,217.44
June 2015,210.01
