Date,Close
June 2018,1271.3
May 2018,1367.6
Apr 2018,1400.6
Mar 2018,1311.9
Feb 2018,1319.1
Jan 2018,1416.6
Dec 2017,1256.95
Nov 2017,1216.85
Oct 2017,1220.6
Sep 2017,1141.2
Aug 2017,1136
July 2017,1192.1
June 2017,1125.26
May 2017,1173.23
Apr 2017,1165.42
Mar 2017,1051.79
Feb 2017,980.22
Jan 2017,963.21
Dec 2016,899.64
Nov 2016,921.75
Oct 2016,984.48
Sep 2016,954.48
Aug 2016,1009.28
July 2016,1038.72
June 2016,997.52
May 2016,982.92
Apr 2016,835.74
Mar 2016,810.84
Feb 2016,719.54
Jan 2016,734.84
Dec 2015,850.48
Nov 2015,916.08
Oct 2015,940.81
Sep 2015,977.85
Aug 2015,1070.25
July 2015,1193.09
June 2015,1188.56
